date,Bitcoin,Tesla,Apple,Gold,Oil,stock,call,put,stock up,stock down,bear market,bull market,recession,Bitcoin%,Tesla%,Apple%,Gold%,Oil%,stock%,call%,put%,stock up%,stock down%,bear market%,bull market%,recession%
2017-04-22,1,3,24,20,17,22,59,27,21,6,5,6,37,-49.9,0.09999999999998899,9.190909090909072,0.09999999999998899,0.09999999999998899,-48.73720930232558,-3.1786885245901675,0.09999999999998899,-19.13076923076923,-53.746153846153845,0.09999999999998899,0.09999999999998899,-31.381481481481476
2017-04-23,1,2,23,20,17,20,51,27,12,6,6,7,42,0.09999999999998899,-33.233333333333334,-4.066666666666663,0.09999999999998899,0.09999999999998899,-8.990909090909094,-13.459322033898303,0.09999999999998899,-42.75714285714286,0.09999999999998899,20.099999999999984,16.766666666666662,13.613513513513498
2017-04-24,1,3,22,19,17,44,55,26,26,9,8,10,58,0.09999999999998899,50.09999999999999,-4.247826086956518,-4.900000000000004,0.09999999999998899,120.10000000000001,7.943137254901944,-3.603703703703709,116.76666666666664,50.09999999999999,33.433333333333316,42.95714285714285,38.19523809523808
2017-04-25,2,3,23,19,17,50,60,26,31,9,8,7,63,100.1,0.09999999999998899,4.64545454545453,0.09999999999998899,0.09999999999998899,13.736363636363635,9.190909090909072,0.09999999999998899,19.330769230769217,0.09999999999998899,0.09999999999998899,-29.900000000000006,8.720689655172409
2017-04-26,2,2,22,19,17,51,74,26,27,10,7,8,59,0.09999999999998899,-33.233333333333334,-4.247826086956518,0.09999999999998899,0.09999999999998899,2.0999999999999908,23.43333333333333,0.09999999999998899,-12.803225806451612,11.211111111111105,-12.4,14.385714285714268,-6.249206349206348
2017-04-27,2,2,22,19,16,52,66,25,22,11,7,9,59,0.09999999999998899,0.09999999999998899,0.09999999999998899,0.09999999999998899,-5.782352941176471,2.060784313725472,-10.71081081081081,-3.7461538461538435,-18.418518518518525,10.099999999999998,0.09999999999998899,12.599999999999989,0.09999999999998899
2017-04-28,2,2,22,20,17,48,61,26,21,13,6,9,54,0.09999999999998899,0.09999999999998899,0.09999999999998899,5.363157894736825,6.349999999999989,-7.592307692307687,-7.47575757575758,4.0999999999999925,-4.445454545454542,18.281818181818178,-14.18571428571429,0.09999999999998899,-8.37457627118644
2017-04-29,2,2,23,20,17,24,54,27,14,4,5,6,37,0.09999999999998899,0.09999999999998899,4.64545454545453,0.09999999999998899,0.09999999999998899,-49.9,-11.375409836065575,3.9461538461538437,-33.233333333333334,-69.13076923076923,-16.566666666666663,-33.233333333333334,-31.381481481481476
2017-04-30,2,3,23,20,17,22,54,28,15,6,5,4,47,0.09999999999998899,50.09999999999999,0.09999999999998899,0.09999999999998899,0.09999999999998899,-8.233333333333338,0.09999999999998899,3.803703703703687,7.242857142857129,50.09999999999999,0.09999999999998899,-33.233333333333334,27.127027027027005
2017-05-01,2,3,24,20,17,45,58,28,25,11,8,11,66,0.09999999999998899,0.09999999999998899,4.447826086956508,0.09999999999998899,0.09999999999998899,104.64545454545453,7.507407407407407,0.09999999999998899,66.76666666666667,83.43333333333331,60.099999999999994,175.1,40.525531914893605
2017-05-02,2,3,24,19,16,50,60,26,27,14,7,8,56,0.09999999999998899,0.09999999999998899,0.09999999999998899,-4.900000000000004,-5.782352941176471,11.211111111111105,3.5482758620689614,-7.042857142857139,8.099999999999996,27.37272727272726,-12.4,-27.172727272727272,-15.051515151515149
2017-05-03,2,3,23,19,17,50,58,26,27,17,11,10,59,0.09999999999998899,0.09999999999998899,-4.066666666666663,0.09999999999998899,6.349999999999989,0.09999999999998899,-3.2333333333333325,0.09999999999998899,0.09999999999998899,21.528571428571407,57.242857142857126,25.099999999999987,5.457142857142849
2017-05-04,3,3,22,19,17,50,59,26,24,15,7,10,58,50.09999999999999,0.09999999999998899,-4.247826086956518,0.09999999999998899,0.09999999999998899,0.09999999999998899,1.824137931034464,0.09999999999998899,-11.011111111111116,-11.664705882352944,-36.263636363636365,0.09999999999998899,-1.5949152542372835
2017-05-05,3,3,22,19,17,46,58,25,22,9,8,8,56,0.09999999999998899,0.09999999999998899,0.09999999999998899,0.09999999999998899,0.09999999999998899,-7.899999999999996,-1.5949152542372835,-3.7461538461538435,-8.233333333333338,-39.900000000000006,14.385714285714268,-19.899999999999995,-3.348275862068961
2017-05-06,2,3,23,21,17,24,54,27,14,4,8,6,34,-33.233333333333334,0.09999999999998899,4.64545454545453,10.626315789473683,0.09999999999998899,-47.72608695652174,-6.796551724137934,8.099999999999996,-36.263636363636365,-55.455555555555556,0.09999999999998899,-24.9,-39.18571428571429
2017-05-07,2,2,24,20,17,22,49,28,16,4,5,5,42,0.09999999999998899,-33.233333333333334,4.447826086956508,-4.661904761904767,0.09999999999998899,-8.233333333333338,-9.159259259259256,3.803703703703687,14.385714285714268,0.09999999999998899,-37.4,-16.566666666666663,23.62941176470588
2017-05-08,2,2,22,19,17,45,57,26,22,10,8,10,60,0.09999999999998899,0.09999999999998899,-8.233333333333338,-4.900000000000004,0.09999999999998899,104.64545454545453,16.426530612244882,-7.042857142857139,37.59999999999999,150.1,60.099999999999994,100.1,42.95714285714285
2017-05-09,3,2,22,19,17,48,59,25,22,8,9,9,55,50.09999999999999,0.09999999999998899,0.09999999999998899,0.09999999999998899,0.09999999999998899,6.766666666666654,3.6087719298245613,-3.7461538461538435,0.09999999999998899,-19.899999999999995,12.599999999999989,-9.899999999999999,-8.233333333333338
