Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
457.3340148925781,21056800,0.03481708286104439,-0.0010365061980508238,2,9,3
424.44000244140625,34483200,0.10592001295451617,-0.0007940005967766869,3,9,3
394.7959899902344,37919700,0.11261215466719364,-0.0003115174494218955,4,9,3
408.90399169921875,36863600,0.0857000555586604,-0.0020029157473793126,5,9,3
398.8210144042969,26580100,0.04894691027576976,0.0006995411203079879,6,9,3
402.1520080566406,24127600,0.024641754851782303,-0.00014919124458356482,0,9,3
435.7909851074219,45099500,0.11448854207209767,-9.173670110200988e-05,1,9,3
423.2049865722656,30627700,0.035570821961972525,-0.00011573756086227295,2,9,3
411.5740051269531,26814400,0.03431770589442239,-0.0003523534757868579,3,9,3
404.42498779296875,21460800,0.03732162400214534,-0.002148700162795636,4,9,3
399.5199890136719,15029300,0.02328039304862897,-0.00012259890427897675,5,9,3
377.1809997558594,23613300,0.07128697922267294,-0.0006707408984546016,6,9,3
375.4670104980469,32497700,0.03484582162334106,0.0016539460988646707,0,9,3
386.9440002441406,34707300,0.04695227090344186,0.0012482470555936446,1,9,3
383.614990234375,26229400,0.02783496784866782,0.0009723716927588659,2,10,4
375.0719909667969,21777700,0.033653650631162955,0.00029063430938022235,3,10,4
359.5119934082031,30901200,0.055429647006171756,0.0010570019631612915,4,10,4
328.8659973144531,47236500,0.11844944183861753,0.00015200049070732287,5,10,4
320.510009765625,83308096,0.18149233553007385,-0.0003775301662313406,6,10,4
330.0790100097656,79011800,0.140712604014046,0.0015299515191758454,0,10,4
336.18701171875,49199900,0.05855247709053346,-0.00021123482413498113,1,10,4
352.94000244140625,54736300,0.08305936148017926,-0.0005440488474932162,2,10,4
365.0260009765625,83641104,0.10077742418859005,-0.0009286715382071255,3,10,4
361.56201171875,43665700,0.06262405009488244,-0.0005531892194106788,4,10,4
362.29901123046875,13345200,0.0315774393289598,0.0008473010106121946,5,10,4
378.54901123046875,17552800,0.06539209042026706,-0.001659022270836212,6,10,4
390.41400146484375,35221400,0.07679381986309251,0.003273408777209815,0,10,4
400.8699951171875,38491500,0.052064255330597865,0.00021201750221609675,1,10,4
394.77301025390625,25267100,0.03462493849636285,-0.0006459531837003965,2,10,4
382.5559997558594,26990000,0.06898705070480741,0.0005228311859149885,3,10,4
383.75799560546875,13600700,0.026876091346322302,0.0005681121452102277,4,10,4
391.4419860839844,11416800,0.042712980271896184,-0.0004802455738860544,5,10,4
389.5459899902344,5914570,0.019360484128185564,-0.0008086399282768817,6,10,4
382.8450012207031,16419000,0.03128073424458242,-0.001107527143143539,0,10,4
386.4750061035156,14188900,0.03101608768981332,-0.0009237198350949261,1,10,4
383.1579895019531,11641300,0.01655202751818585,-0.000511496281138491,2,10,4
358.4169921875,26456900,0.08023917695593043,0.00048549938831504637,3,10,4
