0,1,2,3,4,5,6
3.0158393841336896e-08,1.1113535652640394e-07,6.651179631778081e-09,7.998019728536892e-10,3.1025248634231756e-08,1.5162811024538314e-08,1.4415484543839341e-08
4.686536295650523e-08,1.7351285173106134e-07,1.0456636936051478e-08,1.2714566298942242e-09,4.739068205014685e-08,2.5754610129824494e-08,2.440919200097369e-08
7.332161661710578e-08,2.707535306711861e-07,1.61054429903551e-08,1.9192632105813345e-09,7.147659390388527e-08,4.3774184446121465e-08,4.1221173816552435e-08
1.1528927212012263e-07,4.251603476745913e-07,2.418671676052142e-08,2.9700281341943356e-09,1.0701677052651904e-07,7.423687693020042e-08,6.877735900800985e-08
1.827430511047723e-07,6.698666499005413e-07,3.6090928710874604e-08,4.385582658208986e-09,1.5994109294231728e-07,1.2528471714290391e-07,1.1319236591589287e-07
2.9259855751639916e-07,1.0567896717361691e-06,5.375458090428609e-08,6.687985040637612e-09,2.4143072250515376e-07,2.1026214685804234e-07,1.8348531650502763e-07
4.71909694932382e-07,1.6696010067107637e-06,7.906616260822119e-08,1.0295778109879057e-08,3.6865031175725706e-07,3.5055258209126803e-07,2.9250217721710213e-07
7.649608991400214e-07,2.6529929345997517e-06,1.154751627296946e-07,1.586278764717508e-08,5.626351701382148e-07,5.801433296426239e-07,4.5747566716158874e-07
1.2431426100789623e-06,4.241476488004992e-06,1.6816419708742814e-07,2.466012332960621e-08,8.544348794181644e-07,9.522405963480196e-07,6.996106094447896e-07
2.0238960730978305e-06,6.79484621514348e-06,2.465753902125556e-07,3.804676414531638e-08,1.2858728930331686e-06,1.5440946287981206e-06,1.041535447257047e-06
3.2944480318519707e-06,1.0844758344319417e-05,3.66780489216012e-07,5.8953425439156605e-08,1.9355070756343907e-06,2.481238984728407e-06,1.4998031679169798e-06
5.370532662709593e-06,1.733737224185461e-05,5.56026121429909e-07,9.20531532244695e-08,2.933701643197395e-06,3.94961716438047e-06,2.0698153514331353e-06
8.784733711308946e-06,2.779159269266529e-05,8.521751680490298e-07,1.4447033481634896e-07,4.53573025570364e-06,6.225278871170303e-06,2.694993236218579e-06
1.4400895604467224e-05,4.474685538298217e-05,1.332744344582082e-06,2.3372355788309208e-07,7.179756988051622e-06,9.718630685711105e-06,3.215720454363691e-06
2.3684469451836775e-05,7.190203708887566e-05,2.1700941977087495e-06,3.880086254204329e-07,1.1514124561529116e-05,1.5031452730909223e-05,3.289306810074777e-06
3.8950924026721625e-05,0.00011636590512352996,3.6570092066767755e-06,6.596106571221672e-07,1.86061414700589e-05,2.3043785604386357e-05,2.4228834851669488e-06
6.403511743883427e-05,0.00018932119630335364,6.295690780575569e-06,1.1604841535173272e-06,3.0109874430195305e-05,3.5049572397838345e-05,8.511853661730129e-07
0.00010564148498815485,0.00030987492704298347,1.1123238097070499e-05,2.0150842779997903e-06,4.890145499075515e-05,5.293778081977507e-05,7.620753212904674e-06
0.0001741546337507316,0.0005063226475613192,1.9871337501058405e-05,3.5337651440414675e-06,7.989193422872632e-05,7.952205036417582e-05,1.984065238502808e-05
0.0002863192299264483,0.0008241779994568787,3.558423794402188e-05,6.151149850310844e-06,0.00013210772789761904,0.00011891391091921833,3.8922265703149604e-05
0.0004680185783217894,0.0013345234998269006,6.3572293477705e-05,1.0574951609640948e-05,0.00022042842014798224,0.00017706893951981327,6.411680042219813e-05
0.0007603865640703588,0.0021587294794153424,0.00011012595644842805,1.7601999755925134e-05,0.000364998710783766,0.000262247529317392,8.885736340744188e-05
0.0012206176813924685,0.003476729579269886,0.00018635086722497364,2.9814016500893103e-05,0.0005931727068673354,0.0003848602779908106,9.422586939763278e-05
0.001927470049704425,0.0055124411173164845,0.0003067268580980453,4.981797142306732e-05,0.0009355105884242221,0.0005553739663446322,3.918205184163526e-05
0.0029766520764678717,0.008548050969839096,0.0004920349607800744,8.019809963457192e-05,0.0014279293123399838,0.0007776248338632286,0.0001503787196452322
0.004454714735038579,0.012901968327350915,0.000753913575849765,0.00012479343138465992,0.00210482925940596,0.0010335863253567367,0.0005855910635727923
0.006367745924508199,0.018666948135942222,0.0010952556115103108,0.0001880742464186369,0.0029924139001377627,0.0012556253315415234,0.0013888984499499202
0.008463045125827193,0.025186767242848872,0.0014934099279162183,0.0002652198259096394,0.004023549416269816,0.0012946948973694816,0.0025898544653318823
0.009856760632246733,0.030238619614392517,0.0017711350570425565,0.00033597968946310177,0.004823068308269285,0.0009353930328506976,0.0038570045260712506
0.008202645545825362,0.026995113724842666,0.0015878150251228363,0.0003190414497976235,0.004407300257635143,0.0001680350542301312,0.003925028671510518
